ward_name,ward_no,population
Horamavu,25,95368
Bellandur,150,80180
Begur,192,80037
Dodda Bidarkallu,40,72794
Byatarayanapura,7,72154
Thanisandra,6,71855
Singasandra,191,71004
Kottigepalya,73,68922
Hongasandra,189,68554
Jnanabharathi Ward,129,68132
Hegganahalli,71,66314
Mangammanapalya,190,65890
Bagalagunte,14,65113
Doddanekkundi,85,63083
HSR Layout,174,63033
Herohalli,72,62272
Vasanthapura,197,62057
Rajagopala Nagar,70,61479
Shettyhalli,12,61071
Nagavara,23,60483
Chokkasandra,39,59289
HBR Layout,24,58967
C.V.Raman Nagar,57,58815
Arakere,193,58355
Ullalu,130,58199
Attur,3,58129
Peenya Industrial Area,41,57814
Konanakunte,195,57335
Uttarahalli,184,57209
Vidyaranyapura,9,57195
Laggere,69,57077
Vignana Nagar,81,57062
Rajarajeshwari Nagar,160,56897
Varthur,149,54625
Kaveripura,103,53532
BTM Layout,176,52250
Jakkur,5,52025
Gottigere,194,51911
Vishwanathnagenahalli,22,51592
Banaswadi,27,51268
Nandini Layout,43,51200
Vrushabhavathi,102,50893
Hagadooru,84,50556
Hemmigepura,198,50440
Hoodi,54,50191
Bilekahalli,188,49884
Garudacharpalya,82,49631
J.P.Park,17,49610
Bapuji Nagar,134,49484
Puttenahalli,187,49207
Benniganahalli,50,49094
Gurappanapalya,171,48991
Shankaramata,75,48734
Basavanapura,53,48585
Neelasandra,116,48534
Manorayanapalya,33,47926
Kodigehalli,8,47546
Ramamurthy Nagar,26,47358
Kumaraswamy Layout,181,47182
Kammanahalli,28,47074
Kammanahalli,148,47004
Yelachenahalli,185,46943
Hosakerehalli,161,46805
Vijanapura,51,46159
Deepanjali Nagar,158,45928
Kadugondanahalli,30,45748
Anjanapur,196,45608
Katriguppe,163,45572
Mahalakshmipuram,68,44615
Hosathippasandra,58,43983
Kadugudi,83,43942
Shakthiganapathi Nagar,74,43844
Moodalapalya,127,43729
Bommanahalli,175,43585
Vidyapeetha,164,43483
A.Narayanapura,56,43443
Chikkalasandra,183,43364
Giri Nagar,162,43195
Nayandanahalli,131,42785
Madiwala,172,42624
Banashankari Temple Ward,180,42171
Devarajeevanahalli,47,42135
Shanthi Nagar,117,42095
Yelahanka Satellite Town,4,41986
Kushal Nagar,31,41936
Attiguppe,132,41487
Mallasandra,13,41482
Sri Nagar,156,41379
Lakshmidevi Nagar,42,41352
Yeshwanthpur,37,41107
Padmanabha Nagar,182,41037
Kengeri,159,40771
Maruthiseva Nagar,59,40362
Vijay Nagar,123,40331
Marappana Palya,44,40212
Kempapura Agrahara,122,40032
Sudduguntepalya,152,39997
HAL Airport,87,39926
Marathalli,86,39768
Kavalbyrasandra,32,39334
Azad Nagar,141,38825
Jagareevanram Nagar,136,38639
Koramangala,151,38316
Hombegowda Nagar,145,38309
Jaraganahalli,186,38294
Jeevanbhima Nagar,88,38251
Jayangar,153,38151
Okalipuram,96,38110
Konena Agrahara,113,38108
S.K.Garden,61,38050
Jalahalli,16,37959
Lingarajapuram,49,37955
Subhash Nagar,95,37693
Padarayanapura,135,37599
Shivaji Nagar,92,37506
Binnipet,121,37354
Hosahalli,124,37347
Cottonpet,120,37344
Sarvagna Nagar,79,37291
Kuvempu Nagar,11,37128
Vannarpet,115,37060
Mathikere,36,37036
Hanumantha Nagar,155,36982
Agaram,114,36916
H.M.T,38,36879
Aramane Nagar,35,36738
Chowdeshwari,2,36602
Shiva Nagar,107,36461
Doddabommasandra,10,36396
Rayapuram,137,36039
Muneshwara Nagar,48,35814
Nagarabhavi,128,35780
Dayananda Nagar,97,35721
Subramanya Nagar,66,35709
Kadumalleshwara,65,35609
Sagayapuram,60,35334
Hoysala Nagar,80,35228
K.R.Puram,52,35168
Radhakrishna Temple,18,35122
Hampi Nagar,133,35113
Ulsoor,90,35090
Siddapura,144,34879
Kempegowda,1,34783
Sunkenahalli,142,34666
Gali Anjaneya Swamy Temple Ward,157,34653
Nagapura,67,34574
Ramaswamy Palya,62,34394
Adugodi,147,34299
Malleshwaram,45,34196
Devasandra,55,33946
Jayanagar East,170,33927
Sri Rammandira,108,33866
Jogupalya,89,33793
Kacharakanahalli,29,33588
Jakkasandra,173,33521
Dattathreya Temple,77,33388
Chickpete,109,33292
Gayathri Nagar,76,33236
Rajaji Nagar,99,33084
T-Dasarahalli,15,33042
Prakash Nagar,98,32913
Yadiyuru,167,32756
Bharathi Nagar,91,32689
Basavanagudi,154,32640
Hebbal,21,32516
Sanjay Nagar,19,32491
Visvesvarapuram,143,32462
Chamrajpet,140,32213
Byrasandra,169,32066
Jayachamarajendra Nagar,46,31449
Gandhi Nagar,94,31208
Rajamahal,64,31118
Sarakki,178,31034
Lakkasandra,146,30667
Domlur,112,30638
Basaveshwara Nagar,100,30333
Kamakshipalya,101,30051
Ullalu,139,29344
Maruthi Mandira Ward,126,29319
J.P.Nagar,177,28846
Pulikeshi Nagar,78,28835
Sudam Nagar,118,28784
Agrahara Dasarahalli,105,28355
Pattabhiram Nagar,168,28353
Sampangiram Nagar,110,27504
Ganga Nagar,20,27361
Dharmarayaswamy Temple Ward,119,27076
Karisandra,166,27040
Govindraja Nagara,104,26873
Ganeshmandira Ward,165,25998
Shakambari Nagar,179,25871
Chalavadipalya,138,24801
Gangenahalli,34,24308
Dr.Rajkumar Ward,106,24181
Shanthala Nagar,111,22995
Vasanth Nagar,93,22815
Jayamahal,63,21728
Marenahalli,125,21171
